Country_Wave,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MDA,,,,,,,,,,,,,,,,,,,,11.53022,11.50311,11.52325,11.68865,11.76667,11.80784,11.8731,,,
PRI,,,,,,,,,,,,,,,11.09852,11.1374,10.59461,10.89693,11.21265,11.50607,12.18821,11.2537,,11.63667,,,,,11.82811
HUN,11.48903,11.74616,11.90931,11.55595,11.63501,11.76735,11.88942,11.98857,12.16129,11.78479,11.87689,11.90864,11.90989,11.96531,12.04127,12.17495,12.21384,12.10567,12.4414,12.388,12.25295,12.15388,12.1673,12.08197,12.00457,11.97581,11.95347,12.27452,
BGD,,,,,,,,,,,8.23589,8.26733,8.24671,7.95665,8.35619,8.54562,,,9.83321,,,10.43784,9.97921,10.31363,,10.7683,10.69836,10.9062,10.60256
HKG,,11.1815,,,,,11.59947,11.75413,11.79403,11.78946,11.90603,11.96528,12.1193,12.30059,12.44478,12.56576,12.53435,12.9314,12.61525,12.64713,12.72546,12.57619,12.56535,12.61119,12.43234,12.39126,12.46546,12.26342,11.78574
COL,9.69918,10.14763,,10.55868,10.5271,10.87047,,10.83226,,11.18082,11.56618,11.8061,12.01573,12.09576,12.46365,12.33737,12.23596,11.80675,11.89241,11.66594,11.63618,11.6638,11.59195,11.57521,11.54828,11.40066,11.45955,11.29565,
ESP,13.51352,13.59014,13.38587,12.80774,12.67088,12.80123,12.91042,12.97884,12.92342,12.94025,13.01183,12.95756,12.94049,12.89419,12.90369,13.13045,13.28094,13.38273,13.4326,13.40308,13.41186,13.38187,13.30309,13.27065,13.25396,13.20666,13.29932,13.26429,
SVN,11.19243,11.24439,11.42169,11.53747,12.05149,12.16907,12.71218,12.87794,13.20091,12.7473,12.76538,12.76115,12.7201,12.77034,12.74883,12.74471,12.73543,12.74088,13.64207,13.45675,13.4479,13.75224,13.759,13.80516,13.71345,13.66228,13.5262,13.59067,
PHL,9.52919,9.85194,9.79858,9.87505,9.91537,,9.83835,9.94188,9.96608,9.94042,9.82559,9.59618,9.534,9.64414,9.91018,,,,,10.09964,10.0708,9.93194,10.4666,10.85253,11.02143,11.141,10.70166,11.16399,11.19535
PAK,,,,,,,,,4.67014,5.00571,5.24428,5.40084,5.75154,5.75321,5.76024,5.81388,5.66051,5.7112,5.74399,6.01717,6.30542,6.65533,6.57174,6.88008,7.0647,,7.32512,7.24457,
IRN,10.43467,,10.51174,,10.59011,10.55879,10.71049,10.73325,10.77872,10.93086,10.85355,10.99018,10.94019,11.18583,11.38049,11.27916,11.52985,11.72091,12.44555,12.01418,11.58429,11.44182,11.4064,,,11.49134,,,
POL,11.57047,11.65423,11.95509,12.03393,12.0735,12.07397,12.15378,12.23828,12.3284,11.87347,11.99964,11.96473,11.92716,11.85056,11.82115,11.88239,11.93034,12.01131,12.48347,12.37483,12.63276,12.86496,12.28763,12.18334,12.18557,12.20393,12.67142,12.71519,
TUR,8.61553,,8.55643,,9.27651,9.75343,10.48256,10.78005,10.71834,10.51054,10.33113,10.56065,10.72258,10.49508,10.6945,11.10789,11.42283,11.16212,12.73997,12.95634,12.89672,12.90469,12.9332,12.97781,13.06921,13.07836,13.21325,13.37873,
EGY,8.39572,8.72124,8.99782,,9.25136,9.3073,9.35836,9.33198,9.3151,9.29519,,,9.37612,,9.52614,9.60916,9.87301,10.21539,10.29201,10.18182,,10.43884,10.50676,10.59731,10.74029,10.91117,11.09974,,
URY,11.63333,11.86738,,12.33752,12.46738,12.47525,12.69616,13.07087,13.35863,13.24957,12.84341,12.84522,12.27003,11.98583,12.05176,12.55789,12.74563,12.76248,12.84325,12.89696,12.99689,13.15828,13.34839,13.25525,13.35961,13.26933,13.56784,13.65638,
DEU,13.43101,13.45022,13.50064,13.13294,13.10301,13.04498,13.09508,13.19281,13.12757,13.15749,13.15508,13.26365,13.22904,13.2883,13.25684,13.32005,13.40815,13.34379,13.28996,13.22228,13.15202,12.96525,12.98989,12.99047,13.01918,12.99776,13.00645,12.94976,
CHL,,,,11.0064,11.30441,11.3647,,11.51262,11.57089,11.85185,11.86765,11.85206,11.87537,11.8888,11.7131,11.58504,11.57999,11.5054,11.98972,12.02881,12.08666,12.11877,12.15425,12.20794,12.25012,12.12526,12.27559,12.31125,
ZWE,9.62942,9.81292,10.09645,,10.08802,10.23312,10.69995,10.31581,10.09794,,,10.55556,,,,,,10.5588,10.42355,,,,,,,,,,
GEO,9.00914,9.13157,9.29111,,9.74306,9.98301,10.11993,10.23962,10.42236,10.69237,10.68536,10.86988,11.38247,11.45361,12.25964,,,,12.87571,12.83281,12.8065,12.69596,12.72196,12.70581,12.75274,12.56081,12.5715,12.5811,12.51939
ROU,10.11093,10.39516,10.51592,10.73556,10.77615,10.76602,10.71413,10.91368,10.79603,10.78512,10.56046,10.92605,10.76529,11.57225,12.37749,12.24442,12.03127,11.67674,,,11.75992,11.48699,11.43912,11.48603,11.53283,11.48362,11.40935,10.86221,
NZL,14.0475,14.04067,14.04049,13.89721,13.83877,13.77749,13.83308,14.26185,14.2152,14.0551,14.35879,14.22854,14.33585,14.22304,14.923,14.38956,14.30676,14.19706,14.10419,14.07077,13.93922,13.82392,13.75392,13.69912,14.16133,13.88946,13.96545,13.70991,
SWE,13.94886,14.17468,14.61608,15.86143,15.43476,15.18667,15.05491,15.02405,14.74092,12.12118,12.13019,12.11773,12.08846,12.11282,12.05818,12.06165,11.94991,12.10693,14.56747,14.56544,14.83435,14.99466,15.40308,15.39961,15.01633,14.95313,14.98749,14.97613,
ZAF,,,,11.16811,11.12025,10.4294,10.42939,10.49658,10.57528,10.77162,10.85008,11.01686,11.34863,11.43369,11.62859,11.79173,12.00183,12.26176,,12.91569,13.18796,12.83973,12.73082,12.47811,12.59277,12.49903,12.53723,12.15383,
UKR,,,,,10.18462,10.2734,10.6365,10.79645,10.95683,10.73631,10.78213,10.76136,10.77354,10.75948,10.71551,10.76972,10.6364,10.78415,10.77891,10.67836,9.8655,9.71207,9.63564,9.59166,9.6118,9.61459,9.61406,,
AUS,15.40784,15.73499,16.2959,,,,,,,,,,,,,,,,,,16.06561,15.83078,15.67663,14.77484,15.1857,14.89921,14.88972,14.72973,
RUS,9.43539,9.49155,9.53628,9.62932,9.6999,,,,10.79112,,10.44127,10.41517,10.42599,10.39903,10.10167,,10.63133,10.57247,10.55774,10.544,10.64163,10.63128,10.79266,11.01951,11.08937,10.59365,10.58422,10.56735,10.32213
VNM,,,,9.71485,,10.10316,10.24377,,,,,,,,,,,,,,11.47728,11.67596,11.69051,11.93292,12.35818,12.49631,12.69813,12.95644,
IRQ,,7.33757,,,7.70478,7.71338,,,8.34132,8.56692,,,9.43984,,8.32622,,8.76393,9.12389,,,,,,,,,,,10.40223
MAR,6.69895,6.89337,7.03055,7.12462,7.52446,7.9568,8.30876,8.75131,9.03583,9.20924,9.28125,9.41107,9.64729,9.72895,9.87305,10.20971,10.48865,10.66996,,,,,11.3339,11.44817,11.59094,11.73419,11.72258,12.11185,12.34008
KGZ,9.26829,9.19172,,,9.34908,9.37914,9.42072,9.36516,9.7346,9.72618,9.69315,9.76589,9.78833,,9.88193,9.99486,10.00562,10.09738,10.2175,10.29499,10.25645,10.36811,10.32633,10.33082,10.30088,10.25709,10.28863,10.25255,10.25664
CAN,12.34935,12.39369,,12.17682,12.03333,12.08464,,,,,11.93025,12.01201,12.04815,12.05169,12.15329,12.09699,12.08243,12.54336,12.55268,12.55844,12.58253,12.54682,12.56388,12.55181,12.39951,12.3549,12.23663,12.18289,
IND,7.98802,7.95308,7.96188,,7.63154,7.82444,8.26202,8.30733,8.90006,,,,9.83553,10.07786,9.94685,10.17431,10.36656,10.50053,10.56924,10.8478,10.8842,11.29664,11.11216,10.36843,10.28166,10.53101,10.78328,11.27711,11.18141
MEX,10.456,10.55234,10.61346,10.74494,10.88289,10.93555,10.92581,11.1701,11.38625,11.42407,11.45315,11.55697,11.67381,11.84476,11.90548,12.00161,12.06221,12.20213,12.31653,12.464,12.58027,12.65435,12.74976,12.76738,12.72471,12.49565,12.15587,12.07679,
SGP,,,,,,,,,,,,,11.12708,11.24577,11.28264,,,,,,,10.33791,10.30532,10.23526,10.22196,10.16061,10.11651,10.09877,
PER,10.48028,10.53215,10.47774,10.93991,11.07707,11.14841,11.27213,11.31299,10.81796,10.97963,10.99835,11.13174,11.28496,11.17798,11.32183,11.45209,11.37246,10.96874,11.30277,11.06088,11.01296,11.11973,10.93338,10.91044,11.07833,11.31525,11.38537,11.45714,11.80332
JOR,,10.99614,,,10.84126,10.33329,,10.67437,10.77773,10.83392,10.85691,10.94727,10.91309,10.81264,10.77745,10.67149,10.69256,10.70049,10.86583,11.20379,,11.22145,11.19625,11.28027,11.27899,11.3113,11.25586,11.33295,11.3829
FIN,13.05462,13.13501,13.15542,13.12088,13.31275,13.59181,13.74233,13.77432,13.88325,12.59752,12.63781,12.59401,12.53647,12.48736,12.44543,12.48029,12.50965,12.51691,14.44231,14.46014,14.58181,14.64213,14.70067,14.76173,14.30609,14.27663,14.28381,14.34318,
IDN,9.6853,9.82781,10.03772,10.11375,10.1443,10.01834,10.09945,10.21865,10.40323,10.5094,10.39321,10.51925,11.12292,10.93468,11.27826,11.45841,11.68909,11.81808,11.8082,11.73684,11.90559,11.75113,11.81837,11.89416,11.87633,12.02657,12.04065,11.95438,11.82476
NGA,,,,,7.37801,7.72544,7.40416,7.62869,,8.42305,8.44008,8.43375,7.48639,7.13625,7.43109,7.70196,7.96302,8.13202,8.90529,8.06027,,7.48955,,7.61067,,7.99572,8.03764,,
MYS,10.26303,10.40211,,10.97401,10.85135,10.93518,10.64262,10.38342,10.63401,10.7349,10.47257,10.43945,10.35505,10.39827,10.4148,10.56498,10.65267,10.94707,11.01323,11.1105,10.98414,11.01071,11.06082,10.8403,10.91799,10.82526,10.88138,10.93098,11.03808
BLR,10.0133,10.21085,10.32562,9.91041,,,,,,10.88559,10.94454,10.98191,10.95954,11.76399,11.69342,11.46059,11.27857,11.11419,10.84611,10.75236,10.71011,10.72942,10.65716,10.58311,10.51488,10.48269,10.50822,10.47246,10.40379
CHE,12.77429,12.79074,,12.87249,12.8422,12.87015,12.85136,12.79608,12.77525,12.75907,12.81163,12.8591,12.93299,12.99021,12.9747,13.01411,12.97578,13.01908,13.19457,,13.23205,13.22677,13.22236,13.2451,13.24254,13.24872,13.24199,13.2394,
BRA,,,,,13.08869,,,,,,,,,,,,,11.7664,12.71013,12.6085,12.42806,12.51733,12.56734,12.61117,12.48885,12.43922,12.49241,12.50559,
CYP,8.87745,8.77096,8.72208,,8.66352,11.42569,11.42598,11.68709,11.69585,11.619,11.62239,11.63919,11.60234,11.60794,11.63138,11.58446,11.6168,11.70095,11.83837,11.86892,11.901,11.82325,11.94313,11.97733,12.05382,12.09178,12.06517,12.02554,
ARG,,11.80568,11.40272,11.71949,12.69134,12.97091,13.06442,13.03178,12.8112,12.83444,12.65215,12.65881,12.68882,12.79782,12.97452,13.11039,13.16105,13.198,13.17356,13.22352,13.29954,13.37994,13.3516,13.29831,13.33791,13.41426,13.64032,13.49175,
KOR,11.87523,11.98212,11.75429,11.73891,11.81019,11.80162,11.77016,11.75887,11.81387,11.83197,11.85174,11.82387,11.84084,11.84189,11.83701,11.87278,11.88,11.86546,11.84432,11.85492,11.88757,11.87539,11.85042,11.84989,11.85092,11.76623,11.80609,11.81454,
THA,8.94657,9.05329,9.12758,9.31065,,,9.58172,9.73017,,10.00198,10.27704,10.29099,10.50256,10.39158,10.29018,10.96585,11.05914,10.97104,10.93823,13.56775,13.60619,13.54175,13.35808,13.37932,13.38403,13.33486,,,
CHN,8.49168,8.71026,8.84571,,,,9.66642,,,,,10.84729,11.11204,11.40208,11.68045,11.7692,11.80813,11.80963,,,,,,,,,,,
USA,11.97226,11.90429,,11.79997,11.75774,11.69682,,,,,11.79435,,,,,,,,11.7216,11.7837,11.86949,11.99788,12.03861,12.02165,12.04144,12.02989,11.95833,11.64565,
SRB,,,,,,11.51595,11.36643,11.24187,11.21719,11.22294,11.32891,11.33402,11.31663,11.34422,11.29914,11.22463,11.64631,11.67487,11.71423,11.71307,11.86865,11.76534,11.68084,11.64105,11.56587,11.36468,11.32942,11.58172,
JPN,12.67727,12.67259,,12.64285,12.60512,,,,,,,,,,,,,,12.24268,12.25311,12.27814,12.20724,12.25178,12.27685,12.32197,12.33655,12.26215,12.2696,
